All,Všetky
"No Backorders","Žiadne do-objednávky"
"Allow Qty Below 0","Povoliť množstvo menšie než 0"
"Allow Qty Below 0 and Notify Customer","Povoliť množstvo menšie ako 0 a upozorniť zákazníka"
"Not all of your products are available in the requested quantity.","Nie všetky produkty sú dostupné v požadovanom množstve."
"The fewest you may purchase is %1.","Najmenej čo môžete zakúpiť, je %1."
"Please correct the quantity for some products.","Prosím opravte množstvo pre niektoré výrobky."
"The most you may purchase is %1.","Najviac čo môžete zakúpiť, je %1."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Nemáme toľko ""%1"" ako ste požiadal, ale doobjenáme chýbajúcich %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Nemáme ""%1"" v požadovanom množstve, ale doobjednáme chýbajúcích %2."
"You can buy %1 only in quantities of %2 at a time.","Teraz môžete kúpiť len %2 %1."
"You can buy this product only in quantities of %1 at a time.","Môžete si kúpiť tento produkt len v množstve %1 naraz."
"Stock Status","Stav skladu"
"%1 is available to buy in increments of %2","%1 je možné zakúpiť po %2"
"Only %1 left","Zostáva len %1"
"Product availability","Dostupnosť produktu"
"Inventory Section","Sekcia inventáru"
"Stock Options","Možnosti zásob"
"Decrease Stock When Order is Placed","Znižovať stav zásob podľa objednávok"
"Set Items' Status to be In Stock When Order is Cancelled","Po zrušení objednávky nastaviť stav zásoby na ""Skladom"""
"Display Out of Stock Products","Zobrazovať vypredané produkty"
"Products will still be shown by direct product URLs.","Výrobok bude stále dostupný zadaním priamej URL adresy."
"Display Products Availability in Stock on Storefront","Zobraziť dostupnosť produktov na sklade v obchode"
"Product Stock Options","Možnosti zásoby produktu"
Stock,Zásoba
"Index stock","Index zásoby"
"New Permission","Nové povolenie"
"Delete Rule","Odstrániť pravidlo"
Conditions,Podmienky
"Conditions (don't add conditions if rule is applied to all products)","Podmienky (nepridávajte podmienky ak pravidlo platí pre všetky produkty)"
"We can't apply the rules.","Nieje možné použiť pravidlo."
"We can't delete this rule right now. Please review the log and try again.","Nemôže odstrániť pravidlo práve teraz. Skontrolujte súbor logu a skúste to znova."
"We can't find a rule to delete.","Nemôžeme nájsť pravidlo ktoré chcete odstrániť."
"Conditions Combination","Kombinácie podmienok"
"Product Attribute","Atribút produktu"
"Rule Name","Názov pravidla"
Priority,Priorita
"Discard subsequent rules","Zrušiť naväzujúce pravidlá"
"Catalog Advanced Search","Pokročilé vyhľadávanie v katalógu"
"Advanced Search Results","Výsledky pokročilého vyhľadávania"
"Search Weight","Váha hladania"
Relevance,Relevancia
"Search results for: '%1'","Výsledky hľadania pre: ""%1"""
"Minimum Search query length is %1","Minimálna dĺžka dotazu pre vyhľadávanie je %1"
"%1 and greater","%1 a väčší"
"up to %1","až %1"
"Search Settings","Nastavenia vyhľadávania"
"Advanced Search","Rozšírené vyhľadávanie"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 položky</strong> boli nájdené pomocou nasledujúcich kritérií vyhľadávania"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 položky</strong> boli nájdené pomocou nasledujúcich kritérií vyhľadávania"
"We can't find any items matching these search criteria.","Nemôžeme nájsť žiadne položky vyhovujúce zadaným kritériám."
"Modify your search.","Upravte vaše vyhľadávanie."
"Don't see what you're looking for?","Nemôžete nájsť, čo hľadáte?"
"Your search returned no results.","Žiadne výsledky pre vaše vyhľadávanie."
"Catalog Search","Katalóg vyhľadávania"
"Popular Search Terms","Často vyhľadávané výrazy"
"Minimal Query Length","Minimálna dĺžka dotazu"
"Maximum Query Length","Maximálna dĺžka dotazu"
"Rebuild Catalog product fulltext search index","Obnoviť indexy pre fulltextové vyhľadávanie v katalógu produktov"
Preview,Náhľad
"Store View:","Pohľad obchodu:"
"Sort Products By","Zoradiť produkty podľa"
"Default Product Sorting","Predvolené radenie produktov"
"Use Parent Category Settings","Použiť nastavenia nadradenej kategórie"
"Create Permanent Redirect for old URL","Pre starú URL vytvoriť trvalé presmerovanie"
"Please choose a condition to add.","Prosím zvoľte podmienku ktorú chcete pridať."
"Catalog Products List","Zoznam produktov katalogu"
"List of Products","Zoznam produktov"
"Products Grid Template","Šablóna pre výpis produktov v mriežke"
"Invalid method: %1","Neplatná metóda: %1"
"My Cart (1 item)","Môj košík (1 položka)"
"My Cart (%1 items)","Môj košík (%1 položiek)"
"My Cart","Môj košík"
"Customer is already registered","Zákazník je už zaregistrovaný"
"Your session has expired","Platnosť vašej relácie uplynula"
"A letter with further instructions will be sent to your email.","Na váš e-mail sa odošú informácie s ďalšími pokynmi."
"We cannot configure the product.","Produkt nebolo možné nakonfigurovať."
"You used coupon code ""%1"".","Použili ste kupon s kódom ""%1""."
"You canceled the coupon code.","Zrušili ste kupón s kódom."
"We cannot apply the coupon code.","Nebolo možné aplikovať zadaný kupón."
"We can't remove the item.","Nemôžeme odstrániť položku."
"%1 was updated in your shopping cart.","%1 bol aktualizovaný v nákupnom košíku."
"We can't update the item right now.","Položku nebolo možné aktualizovať."
"We can't update the shopping cart.","Košík nebolo možné aktualizovať."
"One-page checkout is turned off.","Jednostránkový nákup je vypnutý."
"Guest checkout is disabled.","Nieje možné nakupovať bez registrácie."
Checkout,Objednať
"Page not found.","Stránka sa nenašla."
"Something went wrong while processing your order. Please try again later.","Niečo sa pokazilo pri spracovaní vašej objednávky. Skúste to znova neskôr."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 nieje rozšírením triedy \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Spôsob platby"
"Payment Page","Stránka platby"
"We found an invalid request for adding product to quote.","Zaznamenali sme nepltaný pokus o pridanie produktu do košíka."
"The product does not exist.","Produkt neexistuje."
"We don't have some of the products you want.","Nemáme niektoré z produktov, ktoré chcete."
"We don't have as many of some products as you want.","Požadované množstvo nieje dostupné."
"Quantity was recalculated from %1 to %2","Množstvo bolo prepočítané z %1 na %2"
"We adjusted product quantities to fit the required increments.","Množstvo produktov tak aby odpovedalo povolenému množstvu."
"This quote item does not exist.","Táto položka z košíka už neexistuje."
"Display number of items in cart","Zobraziť počet položiek v košíku"
"Display item quantities","Zobraziť množstva produktov"
" item"," položka"
" items"," položky"
"Invalid data","Neplatné údaje"
"The customer address is not valid.","Adresa zákazníka je neplatná."
"Invalid shipping method","Neplatný spôsob dopravy"
Error!,Chyba!
"Print receipt","Vytlačiť potvrdenie"
"Apply Discount Code","Použiť zľavový kód"
"Continue Shopping","Pokračovať v nákupe"
"Clear Shopping Cart","Vyprázdniť nákupný košík"
"Update Shopping Cart","Aktualizovať nákupný košík"
"Update Cart","Aktualizácia košíka"
"You have no items in your shopping cart.","Nemáte žiadne položky vo vašom nákupnom košíku."
"Click <a href=""%1"">here</a> to continue shopping.","Kliknite <a href=""%1""> tu</a> pre pokračovanie v nákupe."
"Estimate Tax","Odhad dane"
"Estimate Shipping and Tax","Odhad poštovného a dane"
"Order #","Objednávka #"
"Proceed to Checkout","Prejdite do pokladne"
"Your order number is: %1.","Číslo vašej objednávky je: %1."
"Your order # is: <span>%1</span>.","Číslo vašej objednávky je: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Bude Vám odoslané potvrdenie objednávky a prípadne i informácie na sledovanie zásielky."
Reason,Dôvod
"Checkout Type","Spôsob nákupu"
Customer:,Zákazník:
Total:,Celkom:
"Billing Address:","Adresa pre fakturáciu:"
"Shipping Address:","Adresa pre doručenie:"
"Shipping Method:","Spôsob dopravy:"
"Payment Method:","Spôsob platby:"
"Date & Time:","Dátum a čas:"
"Sign In","Prihlásiť sa"
"Email Address","E-mailová adresa"
"Forgot Your Password?","Zabudli ste heslo?"
"My billing and shipping address are the same","Adresa dodania a fakturačná adresa sú rovnaké"
Update,Aktualizácia
"Save in address book","Uložiť do adresára"
"Estimated Total","Odhad celkovej ceny"
"You can create an account after checkout.","Po dokončení nákupu môžete vytvoriť účet."
"You already have an account with us. Sign in or continue as guest.","Už máte účet u nás. Prihláste sa, alebo pokračujte ako hosť."
Login,"Prihlásiť sa"
"Items in Cart","Položiek v košíku"
"Item in Cart","Položka v košíku"
"View and Edit Cart","Zobraziť košík"
"See Details","Pozri detaily"
"Options Details","Podrobnosti možnosti"
"Cart Subtotal","Medzisúčet košíka"
"Shipping Address","Dodacia adresa"
"Order Summary","Prehľad Objednávky"
"Review & Payments","Prehľad & Platby"
"Save Address","Uložiť adresu"
"Maximum Number of Items to Display in Order Summary","Maximálny počet položiek na zobrazenie v Zhrnutie objednávky"
"Quote Lifetime (days)","Životnosť košíku (dní)"
"After Adding a Product Redirect to Shopping Cart","Po pridaní produktu presmerovať do nákupného košíka"
"Number of Items to Display Pager","Počet položiek pre zobrazenie stránkovania"
"My Cart Link","Odkaz na Môj košík"
"Display Cart Summary","Zobraziť zhrnutie košíka"
"Number of Items to Display Scrollbar","Počet položiek pre zobrazenie posuvníku"
"Maximum Number of Items to Display","Maximálny počet položiek na zobrazenie"
"Payment Failed Emails","Emaily pre neprevedenú platbu"
"Payment Failed Email Sender","Odosielateľ Emailu pre neprevedenú platbu"
"Payment Failed Email Receiver","Príjemca Emailu pre neprevedenú platbu"
"Payment Failed Template","Šablóna pre neprevedenú platbu"
"Send Payment Failed Email Copy To","Odoslať kopiu Emailu pre neprevedenú platbu na"
"Separate by "","".","Oddelte čiarkou "",""."
"Send Payment Failed Email Copy Method","Odoslať kopiu Emailu pre neprevedenú platbu metódou"
"Order Total",Celkom
"We'll send your order confirmation here.","Sem Vám pošleme potvrdenie objednávky."
Payment,Platba
"Not yet calculated","Zatiaľ nevypočítané"
"Thank you for your purchase!","Ďakujeme za váš nákup!"
"Terms and Conditions","Zmluvné podmienky"
"Add New Condition","Pridať nové podmienky"
"Save Condition","Uložiť podmienky"
"Delete Condition","Vymazať podmienky"
"Edit Terms and Conditions","Upraviť zmluvné podmienky"
"New Terms and Conditions","Nové zmluvné podmienky"
"Terms and Conditions Information","Údaje zmluvných podmienok"
"Condition Name",Názov
"Show Content as","Zobraziť obsah ako"
Applied,Aplikované
"Checkbox Text","Checkbox text"
"Content Height (css)","Výška obsahu (css)"
"Content Height","Výška obsahu"
Condition,Podmienky
"Terms & Conditions","Zmluvné podmienky"
"Enable Terms and Conditions","Zapnúť Zmluvné podmienky"
"Static Blocks","Statické bloky"
"Are you sure you want to do this?","Naozaj chcete pokračovať?"
Created,Vytvorené
"We can't find a block to delete.","Nemôžeme nájsť blok, ktorý chcete odstrániť."
"A total of %1 record(s) have been deleted.","Celkom %1 záznam(ov) bol(o) odstránený(ch)."
"We can't find a page to delete.","Nemôžeme nájsť stánku, ktorú chcete odstrániť."
"We can't upload the file right now.","Práve teraz nie je možné nahrať súbor."
"We can't delete root directory %1 right now.","Práve teraz nie je možné odstrániť koreňový adresár %1."
View,Zobraziť
"Anchor Custom Text","Vlastný text kotvy"
"General Information","Všeobecné informácie"
"Delete Customer","Odstrániť zákazníka"
"A total of %1 record(s) were updated.","Celkom %1 záznamov bolo aktualizovaných."
"A total of %1 record(s) were deleted.","Celkom %1 záznamov bolo odstráných."
"Invalid login or password.","Neplatné prihlasovacie meno alebo heslo."
"Exception message","Správa výnimky"
"Please select a region, state or province.","Vyberte prosím región, štát alebo provinciu."
"Phone Number","Telefónne číslo"
"You have no other address entries in your address book.","Nemáte žiadne ďalšie adresy v adresáry."
Contacts,Kontakty
"Create an Account","Vytvoriť účet"
"When you sign in to your account, you will be able to:","Po prihlásení do svojho účtu, budete môcť:"
Comment,Poznámka
Gender,Pohlavie
"My Orders","Moje Objednávky"
Updated,Aktualizované
Purchased,Zakúpené
"Store Credit","Kredit obchodu"
"This is a required field.","Toto je povinné pole."
Date,Dátum
"Default Config","Predvolená konfigurácia"
Add,Pridať
"Delete File","Odstrániť súbor"
"Design Theme","Dizajn Motívu"
"Sorry, we haven't installed the base currency you selected.","Je nám ľúto, ale zvolená základná mena nebola nainštalovaná."
"Sorry, we haven't installed the default display currency you selected.","Je nám ľúto, ale zvolená preddefinovaná mena nebola nainštalovaná."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Súbor ktorý sa pokúšate nahrať presahuje limit %1kB, ktorý je nastavený na servery."
"Add configurable attributes to the current Attribute Set (""%1"")","Pridať konfigurovateľné atribúty do aktuálne nastaveného setu atribútov (""%1"")"
"You can't add the item to shopping cart.","Nemôžete pridávať položku do nákupného košíka."
Options,Možnosti
"Deselect All","Zrušiť výber všetkých"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Ďakujeme že ste nám zaslali Váš názor. V prípade dotazu Vás budeme čoskoro kontaktovať."
"An error occurred while processing your form. Please try again later.","Počas spracovania formulára sa vyskytla chyba. Skúste znova neskôr."
"Write Us","Napíšte nám"
"What’s on your mind?","Čo máte na mysli?"
"Contact Form","Kontaktný formulár"
"Contact Us","Kontaktujte nás"
"Enable Contact Us","Povoliť kontaktujte nás"
"Email Sender","Odosielateľ emailu"
"Email Template","Šablóny emailov"
"Invalid domain name: %1","Neplatný názov domény: %1"
"<a href=""%1"">Learn more</a>.","<a href=""%1""> Zistiť viac</a>."
"Allow Cookies","Povoliť súbory cookie"
"We can't save the cron expression.","Nieje možné uložiť Cron výraz."
"Invalid cron expression, expecting 'from-to' structure: %1","Neplatný cron výraz, predpokladaná ""od-do"" štruktúra: %1"
"Save Currency Rates","Uložiť kurzy mien"
"Manage Currency Rates","Spravovať kurzy mien"
"Import Service","Služba importu"
"Save Currency Symbols","Uložiť symboly mien"
"Currency Symbols","Symboly peňažných mien"
"Use Standard","Použiť štandardné"
"Click ""Save"" to apply the rates we found.","Kliknite na ""Uložiť"" pre uplatnenie sadzieb ktoré sme našli."
"Currency Rates","Kurzy mien"
"Please correct the input data for ""%1 => %2"" rate.","Prosím, opravte vstupné údaje pre kurz ""%1 => %2""."
"All valid rates have been saved.","Všetky platné sadzby boli uložené."
"You applied the custom currency symbols.","Použili ste vlstné sýmboli mien."
"You must first configure currency options before being able to see currency rates.","Je nutné najskor nastaviť možnosti mien predtým než bude bude možné zobraziť sadzby mien."
"Old rate:","Pôvodné sadzby:"
"You are subscribed to our newsletter.","Prihlásili ste sa k odberu noviniek."
"You aren't subscribed to our newsletter.","Nieste prihlásený k odberu noviniek."
"You have not set a default shipping address.","Nenastavili ste predvolenú dodaciu adresu."
"You have not set a default billing address.","Nenastavili ste predvolenú fakturačnú adresu."
"Address Book",Adresár
"Edit Address","Upraviť adresu"
"Add New Address","Pridať novú adresu"
region,kraj
"Save Customer","Uložte zákazníka"
"Reset Password","Obnoviť heslo"
"Are you sure you want to revoke the customer's tokens?","Ste si istý že chcete zrušiť tokeny užívateľa?"
"Force Sign-In","Platnosť prihlásenia"
"New Customer","Nový zákazník"
"Shopping Cart from %1","Nákupný košík od %1"
Newsletter,"Informačný bulletin"
"Newsletter Information","Informácie o informačnom bulletine"
"Subscribed to Newsletter","Prihláseny k odberu infromačného bulletinu"
"Last Date Subscribed","Datum posledného prihlásenia"
"Last Date Unsubscribed","Datum posledného odhlásenia"
"No Newsletter Found","Nenašiel sa žiaden informačný bulletin"
"Start date","Dátum začiatku"
"Receive Date","Dátum obdržania"
Subject,Predmet
Sent,Odoslané
"Not Sent","Nebola poslaná"
Sending,Odosielanie
Paused,Pozastavené
Unknown,Neznámy
"Bill-to Name","Názov platiteľa"
"Ship-to Name","Názov príjemcu"
"Purchase Point","Miesto nákupu"
"There are no items in customer's shopping cart.","V košíku zákazníka niesu žiadne položky."
Confirmed,Potvrdené
"Confirmation Required","Požadované potvrdenia"
"Confirmation Not Required","Potvrdenie nie je nutné"
Indeterminate,Neurčitý
"The customer does not have default billing address.","Zákazník nemá predvolenú fakturačnú adresu."
Offline,Neprítomný
Online,Prítomný
Never,Nikdy
Unlocked,Odomknutý
Locked,Uzamknutý
"Deleted Stores","Odstránené Obchody"
"Add Locale","Pridať Locale"
"Add Date","Pridať dátum"
"Days in Wish List","Dní v zozname prianí"
Unlock,Odomknúť
"Delete Image","Zmazať obrázok"
"View Full Size","Zobraziť plnú veľkosť"
"All countries","Všetky krajiny"
"Add New Customer Group","Pridať novú skupinu zákazníkov"
"Save Customer Group","Uložiť skupinu zákazníkov"
"Delete Customer Group","Odstrániť skupinu zákazníkov"
"New Customer Group","Nová skupina zákazníkov"
"Edit Customer Group ""%1""","Upraviť skupinu zákazníkov ""%1"""
"Group Information","Informácie o skupine"
"Group Name","Názov skupiny"
"Maximum length must be less then %1 characters.","Maximálna dĺžka musí byť menej ako %1 symbolov."
"Tax Class","Daňová trieda"
"The customer is now assigned to Customer Group %s.","Zákazník je teraz priradený k skupine zákazníkov %s."
"Would you like to change the Customer Group for this order?","Chcete zmeniť skupinu zákazníka pre túto objednávku?"
"The VAT ID is valid.","DIČ je platné."
"The VAT ID entered (%s) is not a valid VAT ID.","Zadané DIČ (%s) nie je platné."
"The VAT ID is valid. The current Customer Group will be used.","DIČ je platné. Použije sa aktuálna skupina zákazníkov."
"The VAT ID is valid but no Customer Group is assigned for it.","DIČ je platné, ale nemá priradenú žiadnu skupinu zákazníkov."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Na základe DIČ zákazníka patrí do zákazníckej skupiny %s."
"Something went wrong while validating the VAT ID.","Pri overovaní DIČ došlo k chybe."
"The customer would belong to Customer Group %s.","Zákazník by mal patriť do skupiny zákazníkov %s."
"There was an error detecting Customer Group.","Počas zísťovania uživatelskej skupiny došlo k chybe."
"Validate VAT Number","Overeniť DIČ"
"Date of Birth","Dátum narodenia"
"Bad request.","Nesprávny požiadavok."
"This confirmation key is invalid or has expired.","Tento potvrdzovací kľúč je chybný alebo vypršala jeho platnosť."
"There was an error confirming the account","Vyskytla sa chyba pri potvrdení účtu"
"Thank you for registering with %1.","Ďakujeme vám za registráciu %1."
"Wrong email.","Nesprávny e-mail."
"Your password reset link has expired.","Platnosť odkazu na obnovenie hesla uplynula."
"We can't save the customer.","Nieje možné uložiť zákazníka."
"Please make sure your passwords match.","Prosím, uistite sa, že vaše heslá zhodujú."
"We're unable to send the password reset email.","Nieje možné odoslať email na obnovu hesla."
"Please enter your email.","Vložte prosím váš email."
"A login and a password are required.","Prihlasovacie meno a heslo sú povinné."
"New Password and Confirm New Password values didn't match.","Heslá sa nezodpovedajú."
"Please enter a new password.","Zadajte nové heslo."
"You updated your password.","Heslo bolo aktualizované."
"Something went wrong while saving the new password.","Pri ukladaní nového hesla nastala chyba."
"You deleted the address.","Adresa bola odstránená."
"We can't delete the address right now.","Nieje možné zmazať adresu práve teraz."
"You saved the address.","Adresa bola uložená."
"We can't save the address.","Nieje možné uložiť adresu."
"You have revoked the customer's tokens.","Zrušili ste tokeny zákazníka."
"We can't find a customer to revoke.","Nemôžeme nájsť zákazník ktorého chcete zrušiť."
"New Group","Nová skupina"
"Edit Group","Upravit skupinu"
"Edit Customer Groups","Upraviť skupiny zákazníkov"
"You saved the customer group.","Skupina zákazníkov bola uložená."
"Please select customer(s).","Vyberte zákazníkov."
"Customer could not be deleted.","Zákazníka nie je možné odstrániť."
"You deleted the customer.","Zákazník bol odstránení."
"Manage Customers","Správa zákazníkov"
"The customer will receive an email with a link to reset password.","Zákazník obdrží e-mail s odkazom na obnovenie hesla."
"Something went wrong while resetting customer password.","Pri resetovaní hesla došlo k chybe."
"You saved the customer.","Uložili ste zákazníka."
"Something went wrong while saving the customer.","Pri ukladaní zákazníka došlo k chybe."
"Customer has been unlocked successfully.","Zákazník bol úspešne odomknutý."
"Online Customers","Zákaznící v obchode"
"Customers Now Online","Teraz pripojený zákazníci"
"Please define Wish List item ID.","Prosím zadajte ID položky zoznamu prianí."
"Please load Wish List item.","Prosím načítajte položku zoznamu prianí."
"Login successful.","Prihlásenie úspešné."
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 nieje rozšírením triedy \Magento\Customer\CustomerData\SectionSourceInterface"
"The account is locked.","Vaše konto je zablokované."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum rôznych druhov znakov v hesle je %1. Druhy znakov: malé písmená, veľké písmená, čísla, špeciálne znaky."
"This customer already exists in this store.","Tento zákazník už existuje v tomto obchode."
"""%1"" is a required value.","""%1"" je požadovaná hodnota."
"Per Website","Podľa webových stránkok"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Nieje možné nastaviť zákazníka globálne, pretože email je už registrovaný vo viacerých obchodoch."
"Reset password token expired.","Platnosť tokenu na obnovu hesla vypršala."
"Attribute object is undefined","Nedefinový objekt atribútu"
"""%1"" invalid type entered.","""%1"" zadaný neplatný typ."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" obsahuje iné znaky než písmená alebo čísla."
"""%1"" is an empty string.","""%1"" je prázdny reťazec."
"""%1"" contains non-numeric characters.","""%1"" obsahuje iné znaky než čísla."
"""%1"" contains non-alphabetic characters.","""%1"" obsahuje iné znaky než písmena."
"""%1"" is not a valid email address.","""%1"" nie je platná emailová adresa."
"""%1"" is not a valid hostname.","""%1"" nie je platný hostname."
"""%1"" uses too many characters.","""%1"" používa príliš veľa znakov."
"'%value%' looks like an IP address, which is not an acceptable format.","""%value%"" vyzerá ako IP adresa, ktorá nie je prijateľnom formáte."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","""%value%"" vyzerá ako DNS hostname, ale obsahuje pomlčku na zakáznom mieste."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","""%value%"" vyzerá ako DNS hostname, ale formát je neplatný pre TLD ""%tld%""."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","""%value%"" vyzerá ako DNS hostname, ale nieje možné rozpoznať TLD časť."
"'%value%' does not look like a valid local network name.","""%value%"" nevyzerá ako platný názov miestnej siete."
"'%value%' looks like a local network name, which is not an acceptable format.","""%value%"" vyzerá ako názov miestnej siete, ktorý nie je prijateľnom formáte."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","""%value%"" sa zdá byť DNS hostname, ale daný punycode zápis nie je možné dekódovať."
"""%1"" is not a valid URL.","""%1"" nie je platnou adresou URL."
"""%1"" is not a valid date.","""%1"" nie je platný dátum."
"""%1"" does not fit the entered date format.","""%1"" nezodpovedá formátu zadaného dátumu."
"Please enter a valid date between %1 and %2 at %3.","Prosím zadajte platný dátum medzi %1 a %2 v %3."
"Please enter a valid date equal to or greater than %1 at %2.","Prosím zadajte platný dátum rovný alebo väčší ako %1 v %2."
"Please enter a valid date less than or equal to %1 at %2.","Prosím zadajte platný dátum starší alebo rovný %1 v %2."
"Customer Group already exists.","Zákaznícka skupina už existuje."
"Cannot delete group.","Skupina sa nedá odstrániť."
"Error during VAT Number verification.","Chyba počas overovania DIČ."
"PHP SOAP extension is required.","Je vyžadované PHP SOAP rozšírenie."
"VAT Number is valid.","DIČ je platné!"
"Please enter a valid VAT number.","Prosím, zadajte platné DIČ."
"Your VAT ID was successfully validated.","Platnosť Vašeho DIČ bola úspešne overená."
"You will be charged tax.","Bude Vám napočítaná daň."
"You will not be charged tax.","Nebude Vám napočítaná daň."
Male,Muž
Female,Žena
"Not Specified",Nešpecifikované
"Validator Exception","Výnimka validátoru"
"Please enter the state/province.","Prosím, zadajte okres."
Label,Štítok
Visitor,Návštevník
"Personal Information","Osobné informácie"
"Last Logged In:","Posledné prihlásenie:"
"Last Logged In (%1):","Posledné prihlásenie (%1):"
"Account Created:","Účet vytvorený:"
"Account Created on (%1):","Účet vytvorený (%1):"
"Account Created in:","Účet vytvorený v:"
"Default Billing Address","Predvolená adresa pre fakturáciu"
"Sales Statistics","Predajné statistiky"
"Average Sale","Priemerný predaj"
"Manage Addresses","Upraviť adresy"
"Default Shipping Address","Predvolená adresa doručenia"
"Change Password","Zmeniť heslo"
"Change Billing Address","Zmena fakturačnej adresy"
"Change Shipping Address","Zmeniť dodaciu adresu"
"You have no default shipping address in your address book.","Vo vašom adresári nemáte žiadnu predvolenú dodaciu adresu."
"Street Address %1","Ulica %1"
"It's a default billing address.","Je to predvolená fakturačná adresa."
"Use as my default billing address","Použiť ako predvolenú, fakturačnú adresu"
"It's a default shipping address.","Je to predvolená adresa doručenia."
"Use as my default shipping address","Použiť ako predvolenú, dodaciu adresu"
"Go back",Naspäť
"Additional Address Entries","Ďalšie položky adresy"
"Please enter your email below and we will send you the confirmation link.","Zadajte svoj e-mail nižšie a my vám zašleme potvrdzovací odkaz."
"Send confirmation link","Poslať odkaz na potvrdenie"
"Back to Sign In","Späť na prihlásenie"
"Change Email","Zmeniť e-mail"
"Change Email and Password","Zmena e-mailu a hesla"
"Current Password","Aktuálne heslo"
"Confirm New Password","Potvrdiť nové heslo"
"Please enter your email address below to receive a password reset link.","Zadajte e-mailovú adresu získať odkaz na obnovenie hesla."
"Reset My Password","Obnoviť heslo"
"Registered Customers","Registrovaných zákazníkov"
"If you have an account, sign in with your email address.","Ak máte účet, prihláste sa pomocou e-mailovej adresy."
"Sign Up for Newsletter","Prihlásiť sa k odberu infrmačného bulletinu"
"Address Information","Informácie o adrese"
"Sign-in Information","Prihlasovacie údaje"
"Confirm Password","Potvrdiť heslo"
"Set a New Password","Odoslať nové heslo"
"You have signed out and will go to our homepage in 5 seconds.","Odhlásili ste sa a budete presmerovaný na našu domovskú stránku za 5 sekúnd."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Vytvorenie účtu má veľa výhod: rýchlejšií proces objednávky, uložiť viac adries, sledovanie objednávok a ďalšie."
"Welcome to %store_name","Vitajte v %store_name"
"Welcome to %store_name.","Vitajte na %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pre prihlásenie sa na naších stránkach, zadajte údaje v procesu objednávky alebo na stránke <a href=""%customer_url"">Môj účet</a>:"
Email:,E-mail:
Password:,Heslo:
"Password you set when creating account","Heslo nastavené pri vytváraní účtu"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Zabudli ste heslo k vášmu účtu? Kliknutím na následujúci odkaz ho <a href=""%reset_url"">resetujete</a>."
"Proceed through checkout faster","Rýchľejšie objednanie"
"Check the status of orders","Skontrolovať stavy objednáviek"
"View past orders","Zobraziť staršie objednávky"
"Store alternative addresses (for shipping to multiple family members and friends)","Uloženie alternatívnych adries (napr. rodinných príslušníkov či priateľov)"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Pred prihlásením musíte potvrdiť svoj e-mail %customer_email (odkaz je platná len raz):"
"Confirm Your Account","Potvrdiť svoj účet"
"Thank you for confirming your %store_name account.","Ďakujem za potvrdenie účtu na %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Pre prihlásenie sa na našich stránkach a nastavenie hesla, kliknite na <a href=""%create_password_url"">odkaz</a>:"
"We have received a request to change the following information associated with your account at %store_name: email.","Obdržali sme požiadavok zmeniť následujúcu informáciu spojenú s vašim účtom u %store_name: e-mail."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Ak ste neschválili túto akciu, prosím neeodkladne nás kontaktujte na <a href=""mailto:%store_email"">%store_email</a>"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Obdržali sme požiadavku zmeniť následujúce informácie spojené s vašim účtom u %store_name: email, heslo."
"There was recently a request to change the password for your account.","Nedávno bola požiadavka na zmenu hesla pre Váš účet."
"If you requested this change, set a new password here:","Ak ste požiadali o túto zmenu, nastavte nová heslo tu:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Ak ste nepreviedli tento požiadavok, môžete tento email ignorovať a heslo zostane nezmenené."
"We have received a request to change the following information associated with your account at %store_name: password.","Obdržali sme požiadavku zmeniť následujúcu informáciu spojenú s vašim účtom u %store_name: heslo."
"Creating an account has many benefits:","Vytvorenie účtu má veľa výhod:"
